,FEATURE_ID,FEATURE_NAME,PRIM_LAT_DEC,PRIM_LONG_DEC,Zipcode,Name,Walk Score
0,1116794,Alameda,45.5551182,-122.6306508,97211,Alameda,65
1,1123040,Lents,45.4798419,-122.56731470000001,97266,Lents,60
2,1124299,Montavilla,45.519008,-122.57898229999999,97216,Montavilla,75
3,1125190,Parkrose,45.5595631,-122.5603715,97220,Parkrose,54
4,1136242,Eastmoreland,45.4731747,-122.62426059999999,97202,Eastmoreland,53
5,1136379,Hillsdale,45.4815074,-122.69481809999999,97239,Hillsdale,57
6,1136386,Hollywood,45.5353963,-122.622317,97232,Hollywood,94
7,1136414,Irvington,45.540396,-122.65204009999998,97212,Irvington,83
8,1136436,Kenton,45.5817841,-122.6814858,97217,Kenton,73
9,1136465,Laurelhurst,45.5262297,-122.62287250000001,97232,Laurelhurst,81
10,1136482,Linnton,45.598727600000004,-122.78704409999999,97231,Linnton,5
11,1136513,Maplewood,45.469840500000004,-122.73009669999999,97219,Maplewood,34
12,1136558,Multnomah,45.46956289999999,-122.7073183,97219,Multnomah,68
13,1136627,Piedmont,45.565117799999996,-122.66815190000001,97217,Piedmont,72
14,1136858,University Park,45.5762283,-122.7287091,97203,University Park,53
15,1136890,West Portland Park,45.4467852,-122.7256517,97219,West Portland Park,57
16,1136923,Woodstock,45.4790082,-122.60842690000001,97206,Woodstock,74
17,1158140,Bridlemile,45.4931737,-122.71037439999999,97239,Bridlemile,42
18,1166623,Brooklyn,45.4903967,-122.63731670000001,97202,Brooklyn,82
19,1867473,Hazelwood,45.5165085,-122.52398079999999,97233,Hazelwood,62
