Zipcode,Walk Score,Median Income 2012,Population 2012,Black Population 2012,BIPOC Population 2012,% BIPOC 2012,Median Income 2018,Population 2018,Black Population 2018,BIPOC Population 2018,% BIPOC 2018
97035,21.0,40434.0,23820.0,107.0,3073.0,12.900923593618806,48275.0,26014.0,275.0,4322.0,16.61413085261782
97086,22.0,31017.0,25919.0,163.0,6201.0,23.924534125544966,38206.0,31000.0,592.0,7949.0,25.64193548387097
97201,40.5,23194.0,14744.0,143.0,2270.0,15.396093326098754,25805.0,18145.0,589.0,4272.0,23.543675943786166
97202,66.33333333333333,28996.0,38951.0,838.0,4844.0,12.43613771148366,36132.0,42822.0,631.0,6447.0,15.055345383214236
97203,53.333333333333336,24099.0,30003.0,2909.0,9041.0,30.133653301336533,28363.0,34365.0,2704.0,8041.0,23.398806925651098
97206,61.333333333333336,26285.0,47544.0,941.0,9036.0,19.00555275113579,31065.0,51698.0,983.0,10975.0,21.22906108553522
97209,95.0,29754.0,14095.0,794.0,2636.0,18.701667257892872,43873.0,17585.0,788.0,2947.0,16.758601080466306
97210,86.0,35374.0,10836.0,213.0,1655.0,15.273163528977483,52450.0,12059.0,302.0,1483.0,12.297868811675928
97211,68.6,29190.0,30731.0,6720.0,10226.0,33.27584523770785,36630.0,34962.0,5673.0,10024.0,28.671128653967166
97212,80.33333333333333,40395.0,24565.0,1622.0,3384.0,13.775697130063099,46821.0,26699.0,1512.0,4090.0,15.318925802464511
97213,73.14285714285714,31161.0,29940.0,1315.0,4864.0,16.245824983299936,36950.0,32845.0,1033.0,5456.0,16.6113563708327
97214,91.0,27879.0,24399.0,396.0,2165.0,8.873314480101643,37312.0,26207.0,601.0,3788.0,14.454153470446826
97215,90.0,31765.0,16302.0,548.0,2372.0,14.550361918782972,38774.0,18676.0,166.0,2162.0,11.576354679802956
97216,62.0,23876.0,15572.0,981.0,4918.0,31.582327254045722,24702.0,16870.0,462.0,4516.0,26.769413159454654
97217,71.83333333333333,29341.0,31170.0,3655.0,8448.0,27.102983638113574,37730.0,34813.0,3664.0,7692.0,22.095194323959443
97219,52.7,38473.0,39061.0,551.0,4328.0,11.08010547605028,43467.0,42813.0,1465.0,5950.0,13.89764791068134
97220,56.666666666666664,23083.0,29397.0,2691.0,8597.0,29.244480729326124,26237.0,30695.0,2672.0,9693.0,31.578432969539012
97222,64.0,26895.0,34608.0,647.0,3143.0,9.081715210355986,30622.0,36988.0,423.0,4294.0,11.60917054179734
97223,36.0,32780.0,46095.0,715.0,7845.0,17.01919947933615,37444.0,49524.0,499.0,7506.0,15.156287860431306
97225,34.0,37912.0,25684.0,654.0,3636.0,14.156673415355863,42999.0,26117.0,830.0,4065.0,15.564574798024275
97227,92.0,26325.0,4052.0,609.0,974.0,24.03751233958539,37727.0,4759.0,566.0,1153.0,24.227778945156544
97229,51.5,48168.0,57851.0,732.0,15428.0,26.66851048382915,52012.0,67339.0,1092.0,22493.0,33.40263443175574
97230,51.5,23565.0,41010.0,3651.0,13902.0,33.89904901243599,26941.0,40131.0,3759.0,12394.0,30.883855373651294
97232,57.0,32308.0,11404.0,379.0,1507.0,13.214661522272886,39436.0,12419.0,424.0,2002.0,16.12046058458813
97236,61.5,21013.0,36217.0,2607.0,10108.0,27.90954524118508,22944.0,40866.0,3099.0,14556.0,35.61885185728968
97239,62.5,38417.0,15349.0,249.0,2287.0,14.899993484917584,47684.0,17666.0,528.0,2931.0,16.591192120457375
