name,lat,lng,Zipcode,Walk Score
Cathedral Park,45.57641768898887,-122.74774080646131,97210,79
University Park,45.5749559647032,-122.70795881169612,97217,53
Piedmont,45.58658733876777,-122.67544970503198,97217,72
Woodlawn,45.56632637569365,-122.64351587588249,97211,74
Cully,45.54829038307215,-122.6147122245439,97213,57
Arbor Lodge,45.577213117595974,-122.67859072730494,97217,77
Overlook,45.55463890366046,-122.6786671784272,97217,73
Concordia,45.55543015581583,-122.64195025427607,97211,76
Parkrose,45.55540271555631,-122.5675206666005,97220,54
Parkrose,45.54667022478301,-122.53745729246761,97230,54
Sumner,45.55540271555631,-122.5675206666005,97220,60
Humboldt,45.566434055685,-122.66475344967259,97211,89
King,45.54827281993202,-122.6586036766623,97212,89
Vernon,45.55768675805183,-122.64290831022151,97211,88
Northwest Heights,45.52973148563183,-122.76448757189037,97229,12
Rose City Park,45.541101442888156,-122.59628165155635,97213,76
Russell,45.533765162369676,-122.51691552225553,97230,36
Montavilla,45.505384238116164,-122.58526932037098,97206,75
Laurelhurst,45.53164300529418,-122.61730479658982,97213,81
Kerns,45.52304035405397,-122.66755048276877,97209,93
North Tabor,45.53164300529418,-122.61730479658982,97213,76
Old Town Chinatown,45.52304035405397,-122.66755048276877,97209,97
Glenfair,45.52642622359427,-122.496955590853,97230,61
Buckman,45.51931740908355,-122.63709299885616,97214,91
Mt. Tabor,45.523227715702696,-122.59254224350627,97213,69
Sunnyside,45.51207701491092,-122.63714442111794,97214,91
South Portland,45.468368856275596,-122.67279422845823,97219,68
Homestead,45.50597030101124,-122.68549575889037,97201,46
Brooklyn,45.49029803003955,-122.62286338292174,97202,82
Hillsdale,45.47170748044723,-122.68047931930714,97219,57
Mt. Scott-Arleta,45.48287223647189,-122.5789613208015,97206,79
Hayhurst,45.478401568675004,-122.74720896338891,97225,50
Sellwood-Moreland,45.47387757160734,-122.74367703472846,97219,81
Multnomah,45.467475601151925,-122.72604663697858,97219,68
Brentwood-Darlington,45.462557922401245,-122.61586200342884,97222,64
South Burlingame,45.463508223560225,-122.69931892398961,97219,62
Markham,45.449199673103685,-122.71282976013595,97219,41
Marshall Park,45.4466182444194,-122.68711800669901,97219,27
Collins View,45.4466182444194,-122.68711800669901,97219,27
West Portland Park,45.44035122698608,-122.7272219199328,97219,57
Arnold Creek,45.43944876534213,-122.7076447489947,97035,21
Far Southwest,45.44588441764875,-122.73339662927705,97219,39
Linnton,45.58518893125,-122.76460551080572,97203,5
Sylvan-Highlands,45.507893346752326,-122.743832672343,97225,18
Arlington Heights,45.51656905063247,-122.69949292137194,97201,35
Ashcreek,45.467338211601245,-122.74880789452605,97223,36
Southwest Hills,45.46467663767927,-122.61589408765751,97206,30
Eastmoreland,45.47920060293069,-122.62267109224697,97202,53
Reed,45.49029803003955,-122.62286338292174,97202,64
Pleasant Valley,45.45379056621977,-122.49697684948418,97086,22
Powellhurst-Gilbert,45.48004393341884,-122.51467524610781,97236,53
Hazelwood,45.50420241595718,-122.54802321395734,97216,62
Mill Park,45.50406385361875,-122.52995939704917,97236,70
Centennial,45.52646830956079,-122.51060054636952,97230,55
Madison South,45.53265122366862,-122.56539604495232,97220,56
Roseway,45.54181623330587,-122.58342186042901,97213,76
Beaumont-Wilshire,45.542831415275,-122.6189247303383,97213,77
Wilkes,45.53385175726229,-122.62536070390317,97232,31
Alameda,45.544655835431854,-122.62607960316718,97212,65
Boise,45.54826572811596,-122.66796528883435,97227,92
Eliot,45.54827281993202,-122.6586036766623,97212,87
Bridlemile,45.481842994509655,-122.71033136926101,97239,42
Irvington,45.491092716012524,-122.69563934283917,97239,83
Sabin,45.528682472340776,-122.65313167175408,97232,83
Richmond,45.50532282659533,-122.60900571263413,97215,90
Lloyd District,45.51954858251791,-122.75581294184028,97229,91
Goose Hollow,45.51941152387617,-122.72870721059323,97210,93
St. Johns,45.62010040358283,-122.71672391916334,97203,64
Portsmouth,45.58472412363434,-122.70794640147047,97217,63
Northwest District,45.60239197374042,-122.65703985797467,97217,93
East Columbia,45.59947863270277,-122.66015444372715,97211,16
